Product Name,Total_Sales,Total_Profit,Profit_Margin_Pct,Order_Count
Cubify CubeX 3D Printer Double Head Print,11099.96,-8879.97,-80.0,3
Lexmark MX611dhe Monochrome Laser Printer,16829.9,-4589.97,-27.27,4
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.99,-48.0,1
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,-2876.12,-29.0,5
Bush Advantage Collection Racetrack Conference Table,9544.73,-1934.4,-20.27,7
GBC DocuBind P400 Electric Binding System,17965.07,-1878.17,-10.45,6
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.08,-8.0,1
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.18,-7.8,6
Balt Solid Wood Round Tables,6518.75,-1201.06,-18.42,4
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,1706.25,-1148.44,-67.31,3
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18,-1147.4,-25.81,5
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,1212.7,-1057.23,-87.18,2
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,5282.42,-989.05,-18.72,6
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.2,-975.1,-35.58,7
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,5634.9,-964.19,-17.11,4
Zebra GK420t Direct Thermal/Thermal Transfer Printer,703.71,-938.28,-133.33,1
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,-872.08,-29.6,5
"Bevis Oval Conference Table, Walnut",6942.07,-856.01,-12.33,8
Tennsco Single-Tier Lockers,9158.3,-825.75,-9.02,8
BPI Conference Tables,2241.87,-795.97,-35.5,5
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,-785.76,-33.71,4
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.37,-767.74,-26.06,5
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.77,-755.75,-22.09,6
Hon 94000 Series Round Tables,7404.5,-681.21,-9.2,5
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.54,-4.29,5
"SAFCO Commercial Wire Shelving, Black",4199.46,-635.44,-15.13,10
Bestar Classic Bookcase,1897.81,-612.94,-32.3,8
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.64,-611.59,-14.23,6
Hon Racetrack Conference Tables,3963.9,-598.52,-15.1,6
Bevis Rectangular Conference Tables,1007.26,-586.84,-58.26,4
Bretford CR4500 Series Slim Rectangular Table,7242.77,-532.76,-7.36,8
Tenex Antistatic Computer Chair Mats,3317.01,-530.04,-15.98,6
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.5,-529.76,-25.74,4
"Bevis Round Conference Table Top, X-Base",2671.42,-519.94,-19.46,6
Lexmark MarkNet N8150 Wireless Print Server,723.51,-506.46,-70.0,2
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.88,-503.12,-12.07,14
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.54,-491.18,-13.35,9
KI Conference Tables,2140.88,-479.22,-22.38,8
"Global High-Back Leather Tilter, Burgundy",5436.16,-474.74,-8.73,14
SAFCO Boltless Steel Shelving,4704.7,-470.47,-10.0,10
"3D Systems Cube Printer, 2nd Generation, White",2339.98,-468.0,-20.0,2
GBC ProClick 150 Presentation Binding System,3223.0,-461.33,-14.31,5
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.67,-22.67,4
"Bevis Traditional Conference Table Top, Plinth Base",2033.5,-456.7,-22.46,3
Chromcraft Rectangular Conference Tables,4952.67,-450.24,-9.09,9
Swingline SM12-08 MicroCut Jam Free Shredder,2359.94,-447.99,-18.98,3
Bevis Boat-Shaped Conference Table,2542.47,-445.59,-17.53,6
Novimex Swivel Fabric Task Chair,2913.91,-445.39,-15.28,8
Okidata MB491 Multifunction Printer,2844.3,-434.13,-15.26,2
